,Judul,Nama Penulis,Pembimbing I,Pembimbing II,Abstrak
0,Pengembangan Game Edukasi 2 Dimensi Untuk Materi Struktur Dasar Algoritma Pemrograman Pada SMK Kelas X,Nurrohmat Hidayatullah Akbar,"Arik Kurniawati, S.Kom. M.T.","Puji Rahayu Ningsih, S.Pd., M.Pd.","Materi struktur dasar algoritma pemrograman merupakan materi yang membahas tentang alur logika penyelesaian masalah. Maka untuk mempelajari materi struktur dasar algoritma pemrograman, siswa dituntut untuk memiliki kemampuan berfikir logis yang baik. Penelitian ini bertujuan untuk mengembangkan media pembelajaran tentang Struktur Dasar Algoritma Pemrograman yang berupa Game Edukasi Berbasis Android untuk membantu siswa dalam memahami Materi Struktur Dasar Algoritma Pemrograman Mata Pelajaran Pemrograman Dasar. Penelitian ini menggunakan metode penelitian pengembangan dengan mengikuti model pengembangan ADDIE (Analysis, Design, Development,  Implementation, Evaluation). Dalam penelitian ini dilakukan 5 tahap uji coba untuk memperoleh nilai efektivitas, efisiensi, dan daya tarik produk. Pertama uji coba ahli isi/materi, kedua uji coba ahli rancangan media, ketiga uji coba perorangan, keempat uji coba kelompok kecil, kelima uji coba kelompok besar. Hasil penelitian menunjukkan bahwa nilai yang diperoleh game edukasi dari: 1) Ahli Materi mendapatkan nilai 98,33% dengan kualifikasi“sangat tinggi”, 2) Ahli Rancangan Media diperoleh nilai 90,00% dengan kualifikasi “sangat tinggi”, 3) uji coba siswa perorangan diperoleh nilai 94,67% dengan kualifikasi “sangat tinggi”, 4) uji coba siswa kelompok kecil diperoleh nilai 88,00% dengan kualifikasi “tinggi”, 5) uji coba siswa kelompok besar diperoleh nilai 88,58% dengan kualifikasi “tinggi”. Dengan demikian game edukasi yang dikembangkan ini memiliki nilai efektifitas, efisiensi, dan daya tarik yang tinggi sebagai media pembelajaran Struktur Dasar Algoritma Pemrograman.
"
1,Pengembangan Media Pembelajaran Sistem Bilangan menggunakan Augmented Reality Berbasis Android untuk SMK ,Cholilah,"Arik Kurniawati, S.kom., MT.","Wanda Ramansyah, S.Pd., M.Pd","Pada Mata Pelajaran Sistem Komputer, siswa harus memahami materi Sistem Bilangan. Materi tersebut merupakan kompetensi wajib yang harus dimiliki oleh Jurusan Teknik Komputer dan Jaringan maupun Rekayasa Perangkat Lunak. Saat ini hampir semua kalangan menggunakan smartphone android sebagai alat komunikasi dan transfer informasi. Bahkan peserta didik pada tingkat SMK (Sekolah Menengah Kejuruan) ataupun sederajat sudah memiliki smartphone android, tetapi siswa kurang memanfaatkan dengan baik adanya smartphone android tersebut. Siswa sering menggunakan smartphone android di dalam kelas. Maka dari itu lebih baiknya terdapat media pembelajaran yang digunakan dengan memanfaatkan smartphone android. Penelitian ini menciptakan media pembelajaran menggunakan Augmented Reality berbasis android pada materi Sistem Bilangan dengan menggunakan single marker. Penelitian ini menggunakan model Kemp and Dayton dengan lima langkah perencanaan dan produksi media pembelajaran, yaitu: (1) preliminary planning, (2) the kinds of media, (3) designing the media, (4) producing the media, (5) using and evaluating media. Penelitian berdasarkan uji coba para ahli, yaitu saat validasi produk pada ahli materi, nilai rata-rata prosentase menghasilkan 81,42% dengan kualifikasi “Tinggi”, hal ini membuktikan bahwa isi materi pada media Sisbil AR sesuai dengan tujuan pembelajaran dan hasil penelitian saat validasi produk pada ahli media, nilai rata-rata prosentase menghasilkan 98,33% dengan kualifikasi “Sangat Tinggi”, hal ini membuktikan bahwa media Sisbil AR dapat membantu dalam pembelajaran. Sedangkan uji coba produk pada siswa atau perorangan, nilai rata-rata prosentase menghasilkan 91,99% dengan kualifikasi “Sangat Tinggi”, uji coba produk pada siswa kelompok kecil, nilai rata-rata prosentase menghasilkan 90,23% dengan kualifikasi “Sangat Tinggi” dan uji coba produk pada siswa kelompok besar, nilai rata-rata prosentase menghasilkan 91,8% dengan kualifikasi “Sangat Tinggi”, hal ini membuktikan bahwa media Sisbil AR dapat meningkatkan daya tarik dan pemahaman siswa. Berdasarkan hasil penelitian pengembang menyarankan bahwa: (1) guru dapat menciptakan media pembelajaran dengan menggunakan Augmented Reality berbasis android pada materi lainnya, (2) siswa sebaiknya memahami dengan benar cara konversi bilangan agar siswa dapat menyelesaikan latihan soal dengan benar, dan (3) untuk pengembang selanjutnya agar dapat menciptakan Augmented Reality dengan menggunakan multiple marker.
Kata-kata Kunci: Media Pembelajaran, Augmented Reality, Sisbil AR, Marker."
2,PENGARUH MEDIA PEMBELAJARAN E-LEARNING BERBASIS MOODLE TERHADAP HASIL BELAJAR SISWA PADA MATERI JAVASCRIPT KELAS X TKJ SMK NEGERI 1 LABANG,TAUFIKUR RAHMAN,"MEDIKA RISNASARI, S.ST.,M.T.","MUCHAMAD ARIF, S.PD.,M.PD.","Penelitian ini bertujuan untuk mengetahui pengaruh media pembelajaran e-learning
berbasis moodle terhadap hasil belajar siswa pada materi javascript. Penelitian yang 
dilaksanakan pada bulan April 2017 ini menggunakan metode  quasi experiment
dengan desain  pretest dan  posttest. Pengambilan data sampel dilakukan 
mengggunakan teknik purposive sampling. Sampel penelitian ini berjumlah 37 siswa 
untuk kelas eksperimen dan 37 siswa untuk kelas kontrol. Pengambilan data 
menggunakan instrumen tes berupa pilihan ganda, analisis data menggunakan uji-t. 
Hasil penelitian yang diperoleh yaitu  = 4,125 >  = 2,021 dengan 
yang berarti Ho ditolak dan Ha diterima, artinya terdapat pengaruh media 
pembelajaran e-learning berbasis moodle  terhadap hasil belajar siswa pada materi 
javascript kelas X TKJ di SMK Negeri 1 Labang. Rata-rata hasil akhir belajar siswa 
mengalami peningkatan yaitu pretest kelas eksperimen 32.9 dan posttest kelas 
eksperimen 81, sedangkam pretest kelas kontrol yaitu 31,7 dan posttest kelas kontrol 
yaitu  73,5. Untuk uji kelayakan diperoleh hasil rata-rata yaitu 82.5  dengan 
kesimpulan media e-learning berbasis moodle layak digunakan sebagai penelitian. 
Sedangkan untuk angket respon siswa terhadap  e-learning memperoleh respon 
sangat baik dengan nilai rata-rata 88.75."
3,PROFIL BERPIKIR KRITIS SISWA KELAS X TKJ DITINJAU DARI KEMAMPUAN AWAL SISWA MATERI STRUKTUR KONTROL PERCABANGAN DI SMKN 3 BANGKALAN,Yuliana Wardani,"Puji Rahayu Ningsih,S.Pd.,M.Pd","Sigit Dwi Saputo, S.Pd.,M.Pd","Abstrak
Penelitian ini bertujuan untuk mengetahui profil berpikir kritis siswa kelas X TKJ ditinjau dari kemampuan awal siswa materi struktur kontrol percabangan di SMKN 3 Bangkalan. Penelitian ini menggunakan jenis penelitian deskriptif kualitatif. Penelitian menemukan bahwa : (1) siswa kemampuan awal tinggi dapat memahami maksud soal yang diberikan dengan baik, dapat membuat alasan yang relevan maupun kesimpulan yang beralasan, menggunakan semua informasi yang dimiliki dan dapat menjelaskan istilah yang dituliskan, serta melakukan overview setelah selesai mengerjakan; (2) siswa dengan kemampuan awal sedang kurang  dapat memahami maksud soal yang diberikan, sehingga dalam memberikan alasan juga tidak relevan, belum dapat membuat kesimpulan dan kurang dapat menggunakan informasi maupun menjelaskan istilah yang telah dituliskan dengan baik, serta tidak melakukan overview. 3) siswa dengan kemampuan awal rendah masih belum dapat memahami soal yang diberikan sehingga tidak memberikan alasan dan kesimpulan. Tidak menggunakan semua informasi, tidak menjelaskan istilah yang dituliskan dan tidak melakukan overview.

Kata-kata Kunci :  berpikir kritis, kemampuan awal, struktur kontrol percabangan"
4,PENGEMBANGAN GAME EDUKASI 3D STRUKTUR ALGORITMA PEMROGRAMAN MENGGUNAKAN UNITY BERBASIS ANDROID SEBAGAI MEDIA PEMBELAJARAN PEMROGRAMAN DASAR DI SMK BAHRUL ULUM SURABAYA,Deny Prasetyo,"Arik Kurniawati, S. Kom., M. T.","Sigit Dwi Saputro, S.Pd., M. Pd.","Mata pelajaran pemrograman dasar merupakan salah satu mata pelajaran yang ada pada Jurusan Rekayasa Perangkat Lunak. Dalam Mata pelajaran pemrograman dasar terdapat materi struktur algoritma pemrograman. Akan tetapi berdasarkan observasi yang telah dilakukan terdapat beberapa masalah yaitu (1) masih kurang dan terbatasnya media yang digunakan guru dalam penerapan materi struktur algoritma pemrograman, sehingga siswa kurang termotivasi untuk belajar algoritma pemrograman, (2) selain itu siswa kurang tertarik untuk belajar algoritma pemrograman dikarenakan dalam penyampaian materi guru selalu menggunakan metode ceramah  pada saat mengajar, dan (3) siswa tidak bisa mengembangkan lebih lanjut materi yang disampaikan oleh guru di kelas dikarenakan kurangnya media komputer atau laptop yang dimiliki oleh siswa. Berdasarkan masalah tersebut peneliti menawarkan sebuah solusi yaitu dengan membuat sebuah media pembelajaran berbentuk rancang blok. Penelitian ini bertujuan untuk mengetahui kualitas dan respon siswa terhadap game edukasi struktur algoritma pemrograman menggunakan unity berbasis android sebagai media pembelajaran pemrograman dasar di SMK Bahrul Ulum Surabaya. Penelitian ini menggunakan metode penelitian dan pengembangan dengan menggunakan model pengembangan ADDIE, dimana langkah-langkah dalam pengembangan ini harus melalui 5 tahapan, yaitu menentukan analisa (analyze), perancangan desain (design), pengembangan (development), implementasi (inplementation), dan evaluasi (evaluation).  Hasil penelitian menunjukkan bahwa : (1) Rata-rata yang didapatkan dari seluruh uji adalah 88% dan termasuk di kualifikasi “tinggi tidak perlu revisi”."
5,PENGEMBANGAN SISTEM PENCARIAN INFORMASI BUKU BERBASIS WEB MENGGUNAKAN MOVING CONTRACTING WINDOW PATTERN ALGORITHM,ACH AYYUBI GUSTIAWAN,"WANDA RAMANSYAH, S.Pd.,M.Pd.","MEDIKA RISNASARI, S.ST.,M.T.","Perpustakaan merupakan tempat untuk mencari sumber pustaka yang akurat sesuai dengan yang diinginkan oleh pengguna. Perpustakaan yang berfungsi sebagai penyedia sumber pustaka tentu harus memiliki sistem pelayanan yang memudahkan penggunanya menemukan sumber pustaka tersebut. Pelayanan tersebut berhubungan dengan pekembangan teknologi informasi yang sangat pesat sehingga pengguna perpustakaan semakin sadar akan informasi. Hal tersebut mengakibatkan tuntutan yang semakin tinggi atas mutu layanan dari perpustakaan.
Tujuan penelitian ini adalah mengembangkan sistem pencarian informasi buku berbasis web menggunakan moving contracting window pattern algorithm (MCWPA) untuk pelayanan informasi koleksi buku yang ada di perpustakaan SMKN 3 Bangkalan.
Penelitian ini menggunakan metode pengembangan dengan model ADDIE dengan lima tahapan yaitu : (1) Analyze (Analisis), (2) Design (Desain), (3) Development (Pengembangan), (4) Implementation (Implementasi), (5) Evaluation (Evaluasi).
Peneliti menemukan bahwa : (1) akses admin bekerja dengan baik dan sesuai dengan output yang diharapkan, (2) algoritma MCWPA pada menu pencarian menunjukkan performa yang baik dan menampilkan hasil pencarian yang akurat, (3) sistem pencarian informasi buku berbasis web menggunakan MCWPA layak secara operasional untuk digunakan oleh siswa SMKN 3 Bangkalan."
6,PENGEMBANGAN MEDIA PEMBELAJARAN TRAINER KOMPUTER DALAM MATA PELAJARAN PRODUKTIF MATERI PERAKITAN  KOMPUTER DI SMKN 1 SEPULU,MAT SALIM,"Koko Joni, S.T., M.Emg","Puji Rahayu Ningsih, S.Pd., M.Pd","Abstra Tujuan penelitian ini adalah untuk menghasilkan suatu pengembangan media pembelajaran Trainer Komputer pada mata pelajaran produktif materi perakitan komputer kelas sepulu teknik komputer jaringan (TKJ), mengetahui desain, realisasi, unjuk kerja dan tingkat kelayakan media pembelajaran Trainer Komputer dalam teori perakitan komputer. Penelitian ini merupakan penelitian pengembangan yang berpedoman pada model pengembangan four D models (4D Model). Penelitian pengembangan ini melalui 4 tahapan yang terdiri dari definisi, desain, pengembangan dan penyebaran. Kelayakan dari media trainer komputer ini tergantung pada uji coba masing-masing ahli dan siswa. media pembelajaran ini diuji oleh dua orang ahli yaitu satu ahli media dan satu ahli materi atau ahli isi. Uji coba siswa kelas sepulu teknik komputer jaringan (TKJ) berjumlah 3 uji coba perseorangan 11 uji coba kelompok kecil dan 20 uji coba kelompok besar metode untuk pengumpulan data menggunakan angket. Hasil analisis menunjukkan bahwa kualitas media yang dihasilkan adalah sebaiberikut: dari uji kelayakan media pembelajaran menurut ahli memperoleh persentase total 100%, sedangkan menurut ahli materi memperoleh pesentase 100%, dan hasil ujicoba perseorangan memperoleh 87,33%, dan dan hasil ujicoba kelompok kecil memperoleh 87,45%, dan hasil ujicoba kelompok besar memperoleh 88,3%, dengan demikian dapat disimpulkan bahwa media pembelajaran trainer komputer dapat digunakan untuk meningkatkan kualitas pembelajaran."
7,Pengembangan Game Educative Berbasis Android Untuk pada Mata Pelajaran Matematika Materi Bangun Ruang Untuk Siswa Sekolah Dasar,Muhammad Trio Maulana Putra,"Ariesta Kartika Sari, S.Si., M.Pd.","Medika Risnasari, S.ST., M.T.","Mata pelajaran matematika dengan materi bangun ruang pada kelas 5 merupakan mata pelajaran yang mengajarkan kepada siswa tentang jaring-jaring dan sifat-sifat bangun ruang. Selama ini dalam mengajarkan materi terkait bangun ruang guru hanya menggunakan media buku. Media buku dirasa kurang maksimal karena hanya menyajikan materi dalam bentuk teks dan gambar saja sehingga siswa mudah merasa jenuh, oleh karena itu diperlukan inovasi baru terkait media pembelajaran. Media pembelajaran game educative berbasis android merupakan salah satu solusi untuk dapat membuat pembelajaran matematika lebih menarik. Game Educative merupakan sebuah media pembelajaran yang memanfaatkan perkembangan teknologi atau MPI (Multimedia Pembelajaran Interaktif).
Penelitian ini bertujuan untuk mengembangkan game educative berbasis android  pada mata pelajaran matematika materi bangun ruang untuk siswa sekolah dasar. Pengembangan game educative bertujuan untuk mempermudah siswa belajar secara mandiri kapanpun dan dimanapun melalui perangkat android.
Penelitian ini menggunakan metode penelitian dan pengembangan dengan model pengembangan 4D dengan empat tahap yaitu: Difine (pendefinisian), Design (desain), Development (pengembangan), dan Dissemination (penyebarluasan). 
Berdasarkan hasil penelitian peneliti menemukan bahwa: (1) siswa lebih senang belajar menggunakan game educative berbasis android karena dapat bermain sambil belajar, (2) game educative berbasis android dapat menambah minat belajar siswa, (3) game educative berbasis android layak untuk digunakan sebagai bahan ajar."
8,PENGEMBANGAN MEDIA PEMBELAJARAN E-LEARNING BERBASIS WEB UNTUK SISWA KELAS X TEKNIK KOMPUTER DAN JARINGAN ,ALI MAKKI,"ARIK K.,S.Kom., M.T","PUJI RAHAYU N.,S.Pd.,M.Pd","Pengembangan media pembelajaran “e-learning Berbasis web” dilatar belakangi oleh keterbatasan fasilitas seperti jaringan internet yang memiliki kecepatan yang yangrendah tidak memungkinkan untuk semua siswa menggunakan edmodo secara bersamaan dikarenakan kecepatan internet menurun mengakibatkan waktu pembelajaran terbuang. Oleh karena itu, diperlukan sebuah inovasi dalam mengembangkan sebuah media pembelajaran. Pengembangan ini bertujuan untuk mengembangkan media pembelajaran “e-learning Berbasis web” pada siswa kelas x teknik komputer dan jaringan pada mata pelajaran pemrograman web. Metode dalam pengembangan ini berupa metode pengembangan yang digunakan untuk mengembangkan dan menguji kelayakan dari produk atau media tersebut. Prosedur pengembangan mengikuti prosedur dari ADDIE yang diadaptasi oleh Mulyatiningsih.Tahapan tersebut berupa identifikasi masalah, analisis, desain, pengembangan, implementasi, evaluasi. Instrumen dalam pengembangan ini menggunakan angket. Teknik analisis data yang digunakan adalah teknik statistik deskriptif dan kuantitatif. Hasil penelitian pengembangan dari penilaian validasi ahli media pembelajaran sebesar 82,6%, penilaian validasi ahli materi sebesar 80%, penilaian uji coba perorangan 92%, penilaian uji coba kelompok kecil 83%, penilaian uji coba kelompok kecil 81,4%, Hasil tersebut menunjukkan bahwa media pembelajaran “e-learning Berbasis web”  sangat layak digunakan sebagai media pembelajaran pemrograman web."
9,Pengaruh penerapan Sublime Text 3 terhadap minat belajar siswa pada mata pelajaran pemrograman web bahasan Style halaman web kelas X TJK di SMK Al – hikam,Nawawi,"Muchamad Arif, M. Pd","Sigit Dwi Saputro, M. Pd","Penelitian ini bertujuan untuk mengetahui pengaruh media pembelajaran teks editor Sublime text 3 terhadap minat belajar siswa pada mata pelajaran pemrograman web bahasan Style Halaman Web, penelitian ini dilaksanakan pada bulan mei 2017. Penelitian ini menggunakan metode True Experimental Design dengan jenis pretest-postest control group Design. Teknik sampel yang digunakan yaitu random sampling. Sampel pada pada penelitian ini berjumlah 30 siswa pada kelas ekperimen dan 30 siswa pada kelas kontrol. Pengambilan data menggunakan intrumen angket (kuisioner) yang terdiri dari pernyataan favorable dan unfavorable, analisis data menggunakan uji t signifikasi. Hasil penelitian ini diperoleh yaitu t_hitung= 6,81 > t_tabel=2,04 yang berarti Ho ditolak dan Ha diterima, artinya dapat disimpulkan bahwa  terdapat pengaruh penerapan Sublime Text 3 terhadap minat belajar siswa pada mata pelajaran pemrograman web bahasan style halaman web di SMK Al – Hikam. Rata-rata hasil akhir posttest ekasperimen  minat siswa mengalami peningkatan yaitu posttest kelas kontrol 40,3 dan posttest kelas kontrol 75,5. Nilai rata-rata aktivitas siswa kelas kontrol memperoleh 60 denga kategori cukup baik dan nilai rata-rata kelas eksperimen memperoleh 70 dengan kategori baik sedangkan nilai rata-rata aktivitas guru kelas kontrol dan kelas ekperimen   memperoleh  96 dengan ketegori sangat baik
Berdasarkan hasil penelitian maka dapat disimpulkan bahwa penggunaan teks editor Sublime Teks 3 dapat mempengaruhi minat belajar siswa pada mata pelajaran pemrograman web. 
"
